Date,NVDA
1/2/2020,5.970754147
1/3/2020,5.87518692
1/6/2020,5.899824142
1/7/2020,5.971253395
1/8/2020,5.982451916
1/9/2020,6.048154831
1/10/2020,6.080508232
1/13/2020,6.271145821
1/14/2020,6.154175282
1/15/2020,6.111617565
1/16/2020,6.195240498
1/17/2020,6.203949928
1/21/2020,6.170600891
1/22/2020,6.224606991
1/23/2020,6.293047428
1/24/2020,6.23381567
1/27/2020,5.977972031
1/28/2020,6.171348095
1/29/2020,6.110870361
1/30/2020,6.117589474
1/31/2020,5.884145737
2/3/2020,5.981207848
2/4/2020,6.1504426
2/5/2020,6.240782738
2/6/2020,6.327640533
2/7/2020,6.261440754
2/10/2020,6.544659138
2/11/2020,6.667106628
2/12/2020,6.782832623
2/13/2020,6.739031315
2/14/2020,7.21214056
2/18/2020,7.380877972
2/19/2020,7.83208847
2/20/2020,7.68276453
2/21/2020,7.318659782
2/24/2020,6.801249504
2/25/2020,6.521763325
2/26/2020,6.661132813
2/27/2020,6.290336132
2/28/2020,6.725381374
3/2/2020,6.883761406
3/3/2020,6.621289253
3/4/2020,7.084970951
3/5/2020,6.805566788
3/6/2020,6.625023365
3/9/2020,6.112036705
3/10/2020,6.501509666
3/11/2020,6.137683868
3/12/2020,5.386631012
3/13/2020,5.997485161
3/16/2020,4.890824318
3/17/2020,5.410535812
3/18/2020,5.05069685
3/19/2020,5.303456783
3/20/2020,5.123661518
3/23/2020,5.296483517
3/24/2020,6.205171108
3/25/2020,6.116518497
3/26/2020,6.405884743
3/27/2020,6.29357338
3/30/2020,6.613817215
3/31/2020,6.56426239
4/1/2020,6.053017139
4/2/2020,6.361807823
4/3/2020,6.073934555
4/6/2020,6.683793068
4/7/2020,6.450457573
4/8/2020,6.647684574
4/9/2020,6.548075199
4/13/2020,6.719902515
4/14/2020,7.071026325
4/15/2020,6.993579865
4/16/2020,7.338725567
4/17/2020,7.279458523
4/20/2020,7.1482234
4/21/2020,6.711435795
4/22/2020,7.125810623
4/23/2020,7.072519779
4/24/2020,7.211474419
4/27/2020,7.397994041
4/28/2020,7.255551338
4/29/2020,7.432360172
4/30/2020,7.278461456
5/1/2020,7.041889668
5/4/2020,7.253808498
5/5/2020,7.314819813
5/6/2020,7.415673256
5/7/2020,7.591982841
5/8/2020,7.781988144
5/11/2020,8.034000397
5/12/2020,7.772027493
5/13/2020,7.749615669
5/14/2020,7.999136925
5/15/2020,8.457589149
5/18/2020,8.71607399
5/19/2020,8.771108627
5/20/2020,8.934967995
5/21/2020,8.740980148
5/22/2020,8.990994453
5/26/2020,8.683702469
5/27/2020,8.49195385
5/28/2020,8.453854561
5/29/2020,8.840836525
6/1/2020,8.771853447
6/2/2020,8.790782928
6/3/2020,8.735250473
6/4/2020,8.736247063
6/5/2020,8.889217377
6/8/2020,8.774614334
6/9/2020,9.014781952
6/10/2020,9.334425926
6/11/2020,8.765893936
6/12/2020,8.901676178
6/15/2020,9.142091751
6/16/2020,9.037203789
6/17/2020,9.204127312
6/18/2020,9.186189651
6/19/2020,9.229290962
6/22/2020,9.493873596
